word,lemma,headword,part_of_speech,word_family_id,canonical_headword,family_role,forms,derived_forms,compound_forms,categories,register,meaning_en_simple,semantic_notes,related_words,opposites,common_collocations,raw_count_total,document_frequency_total,source_diversity,source_tables,form_counts,core_score,confidence,needs_human_review,review_reason
tainted,taint,tainted,,taint,taint,inflected_form,tainted,,,corruption_defilement_curse,,"contaminated or polluted, morally corrupted",,defiled;desecrated;profane,hallowed;consecrated;sanctified,,53,49,3,ItemSparse;JournalEncounter;JournalEncounterSection,tainted:53,119.989,0.8,False,
desecrated,desecrate,desecrated,,desecrate,desecrate,inflected_form,desecrated,,,corruption_defilement_curse,,"made or considered unclean, polluted",,defiled;tainted;profane,hallowed;consecrated;sanctified,,18,13,3,ItemSparse;JournalEncounter;JournalEncounterSection,desecrated:18,118.9444,0.8,False,
defiled,defile,defiled,,defile,defile,related_concept,defiled,,,corruption_defilement_curse,,"made or considered unclean, polluted",,tainted;desecrated;profane,hallowed;consecrated;sanctified,,11,10,3,BroadcastText;ItemSparse;JournalEncounterSection,defiled:11,118.4849,0.8,False,
sundered,sunder,sundered,,sunder,sunder,inflected_form,sundered,,,corruption_defilement_curse,,"broken or separated, torn apart",,defiled;desecrated;tainted,hallowed;consecrated;sanctified,,15,14,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,sundered:15,90.7726,0.8,False,
blighted,blight,blighted,,blight,blight,inflected_form,blighted,,,corruption_defilement_curse,,"affected or damaged by a curse, plague, or other negative force",,tainted;defiled;desecrated,hallowed;consecrated;sanctified,,4,4,3,BroadcastText;ItemSparse;JournalEncounterSection,blighted:4,87.6094,0.8,False,
tarnished,tarnish,tarnished,,tarnish,tarnish,inflected_form,tarnished,,,corruption_defilement_curse,,covered in a layer of corrosion or grime,,weathered;withered,,,10,10,1,ItemSparse,tarnished:10,84.3979,0.9,False,
corrupted,corrupt,corrupted,,corrupt,corrupt,related_concept,corrupted,,,corruption_defilement_curse,,tainted or influenced by evil or dark forces,,defiled;tainted,,,190,176,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,corrupted:190,45.2523,0.9,False,
relic,relic,relic,,relic,relic,base,relic,,,corruption_defilement_curse,,an object or place that is considered sacred or of great importance,,treasured;sacred;important,profane;unholy,,97,92,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,relic:97,44.585,0.9,False,
sealed,seal,sealed,,seal,seal,inflected_form,sealed,,,corruption_defilement_curse,,"closed or locked, often to keep something inside or out",,locked;closed;barred,unsealed;open,,84,84,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,sealed:84,44.4427,0.7,True,low_confidence
awakened,awaken,awakened,,awaken,awaken,inflected_form,awakened,,,corruption_defilement_curse,,"made aware or conscious of something, often in a sudden or dramatic way",,aware;conscious;alert,asleep;unconscious,,79,70,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,awakened:79,44.382,0.4,True,low_confidence
twisted,twist,twisted,,twist,twist,inflected_form,twisted,,,corruption_defilement_curse,,having been distorted or corrupted in some way,,distorted;corrupted;perverted,straight;normal,,143,133,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,twisted:143,42.9698,0.2,True,low_confidence
shattered,shatter,shattered,,shatter,shatter,inflected_form,shattered,,,corruption_defilement_curse,,having been broken or destroyed in some way,,broken;destroyed;ruined,intact;whole,,104,102,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,shattered:104,42.654,0.1,True,low_confidence
cursed,curs,cursed,,curs,curs,inflected_form,cursed,,,corruption_defilement_curse,,placed under a magical or supernatural penalty,,hexed;afflicted,,,58,56,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,cursed:58,42.0775,1.0,False,
stained,stain,stained,,stain,stain,inflected_form,stained,,,corruption_defilement_curse,,tainted or polluted by something unpleasant or unclean,,hexed;afflicted,,,46,46,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,stained:46,41.8501,1.0,False,
vile,vile,vile,,vile,vile,base,vile,,,corruption_defilement_curse,,morally repugnant or disgusting,,hexed;afflicted,,,46,46,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,vile:46,41.8501,1.0,False,
afflicted,afflict,afflicted,,afflict,afflict,inflected_form,afflicted,,,corruption_defilement_curse,,"suffering from a disease or injury, typically one that is serious or chronic",,ill;sick;injured,,,276,243,3,ItemSparse;JournalEncounter;JournalEncounterSection,afflicted:276,41.624,1.0,False,
decaying,decay,decaying,,decay,decay,inflected_form,decaying,,,corruption_defilement_curse,,"rotting or falling apart, typically due to age or disease",,rotten;moldy;fungal,,,31,29,4,ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,decaying:31,41.4657,1.0,False,
warped,warp,warped,,warp,warp,inflected_form,warped,,,corruption_defilement_curse,,"twisted or distorted, especially in a way that is considered abnormal or unnatural",,twisted;distorted;deformed,straight;normal;natural,,16,16,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,warped:16,40.8332,0.7,True,low_confidence
fractured,fractur,fractured,,fractur,fractur,inflected_form,fractured,,,corruption_defilement_curse,,"broken or split, especially in a way that is considered incomplete or imperfect",,broken;split;shattered,whole;intact;complete,,119,115,3,BroadcastText;ItemSparse;JournalEncounterSection,fractured:119,40.7875,0.8,False,
searing,sear,searing,,sear,sear,inflected_form,searing,,,corruption_defilement_curse,,causing intense heat or pain,,blazing;scorching;fiery,cooling;soothing;chilling,,107,103,3,ItemSparse;JournalEncounter;JournalEncounterSection,searing:107,40.6821,0.8,False,
plagued,plague,plagued,,plague,plague,inflected_form,plagued,,,corruption_defilement_curse,,affected or troubled by a problem or difficulty,,afflicted;tormented;distressed,blessed;protected;untroubled,,11,11,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,plagued:11,40.4849,0.9,False,
smoldering,smolder,smoldering,,smolder,smolder,inflected_form,smoldering,,,corruption_defilement_curse,,"burning or glowing with a low, steady flame, often in a way that is considered smoky or unpleasant",,glowing;smoking;flickering,extinguished;dormant;inactive,,39,37,3,ItemSparse;JournalEncounter;JournalEncounterSection,smoldering:39,39.6889,0.8,False,
contaminated,contaminate,contaminated,,contaminate,contaminate,inflected_form,contaminated,,,corruption_defilement_curse,,made impure or polluted by something unwanted,,polluted;tainted;defiled,,,15,12,3,ItemSparse;JournalEncounter;JournalEncounterSection,contaminated:15,38.7726,1.0,False,
malignant,malignant,malignant,,malignant,malignant,base,malignant,,,corruption_defilement_curse,,"causing or showing harm or evil, especially in a way that is intentional or deliberate",,harmful;detrimental;pernicious,,,9,8,3,ItemSparse;JournalEncounter;JournalEncounterSection,malignant:9,38.3026,1.0,False,
rotting,rott,rotting,,rott,rott,inflected_form,rotting,,,corruption_defilement_curse,,"decaying or breaking down, especially because of age or wear",,decaying;putrid;foul,,,9,9,3,ItemSparse;JournalEncounter;JournalEncounterSection,rotting:9,38.3026,1.0,False,
marred,marr,marred,,marr,marr,inflected_form,marred,,,corruption_defilement_curse,,"damaged or disfigured, often in a way that is unpleasant to look at",,damage;disfigure;unpleasant,beautiful;attractive,,3,3,2,ItemSparse;JournalEncounter,marred:3,35.3863,0.8,False,
