word_family_id,canonical_headword,forms,derived_forms,compound_forms,categories,register,meaning_en_simple,related_words,opposites,raw_count_total,document_frequency_total,source_diversity,source_tables,confidence,needs_human_review
physical,physical,physical,,,nature_druid_emerald,,relating to the body or material world,material;bodily;corporeal,,796,750,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.5,True
create,create,create;created;creates,,,magic_artifacts_runes,,to make or bring into existence,make;exist,,795,765,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.1,True
remain,remain,remain;remained;remaining;remains,,,death_mourning;light_holy;nature_druid_emerald,,still existing or available after something has been removed or used up,left;remaining;residual,,779,743,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.6,True
random,random,random,,,nature_druid_emerald,,"happening or done by chance, rather than being planned or deliberate",chance;luck;fortune,planned;deliberate;intentional,755,714,3,BroadcastText;ItemSparse;JournalEncounterSection,0.8,False
avoid,avoid,avoid;avoided;avoiding,,,travel_places;war_conflict,,to stay away from something or someone,shun;dodge,,751,637,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
him,him,him,,,family_relationships,,a male person or thing,male;man;person,,749,692,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.5,True
dark,dark,dark,,,dark_profane,,lacking light or having little light,light;bright;illuminated,,743,705,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
back,back,back,,,travel_places,,the rear part of something,rear;behind,,727,717,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,1.0,False
efficiently,efficiently,efficiently,,,trade_crafting,,"in a way that uses the least amount of time, effort, or resources",effectively;productively;prudently,,712,712,2,ItemSparse;JournalEncounter,1.0,False
away,away,away,,,travel_places,,to a distant place or location,distant;far,,699,669,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,1.0,False
location,location,location;locations,location,,travel_places,,a place or position in space,place;position,,691,658,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
appear,appear,appear;appearing;appears,,,magic_artifacts_runes;travel_places,,to become visible or noticeable,becomes;visible,,682,677,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
ability,ability,abilities;ability,,,magic_artifacts_runes,,magical power or skill,power;magic;enchantment,weakness;vulnerability,673,639,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
reach,reach,reached;reaches;reaching,,,trade_crafting;travel_places,,extends or stretches out to a particular point,extends;stretches;spans,limits;bounds,653,629,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.6,True
tank,tank,tanks,,,war_conflict,,large armored vehicles used in warfare,armored;vehicle,,641,639,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,1.0,False
nature,nature,nature,,,elements_primalists,,"the natural world, including plants and animals",world;environment;ecosystem,,637,552,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
piece,piece,piece;pieces,,,forge_weapons_armor,,a part of something larger,fragment;section,,637,633,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
healer,healer,healers,,,nature_druid_emerald,,people who help others to recover from illness or injury,help;care,,630,629,2,ItemSparse;JournalEncounterSection,0.4,True
know,know,know;knowing,,,emotion_morality,,to have knowledge or understanding of something,understand;recognize,,628,622,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
strike,strike,strike;strikes,,,corruption_defilement_curse;war_conflict,,to hit or attack something,hit;attack;assault,,626,595,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
stand,stand,stand;standing;stands,,,light_holy;travel_places;war_conflict,,to remain upright and not move,remain;upright,,623,598,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
overview,overview,overview,,,travel_places,,a general view or description of something,view;description,,617,617,2,ItemSparse;JournalEncounterSection,0.1,True
might,might,might,,,light_holy,,great physical or mental strength,strength;power;force,,613,609,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
ancient,ancient,ancient;ancients,,,light_holy;void_old_gods_cosmic_horror,,existing from a long time ago,old;antique;vintage,,588,561,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
artifact,artifact,artifact;artifacts,,,magic_artifacts_runes,,"an object made by humans, often with special powers or significance",object;thing;item,,542,539,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
before,before,before,,,travel_places,,in front of or earlier than something else,prior;preceding,,523,505,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
spirit,spirit,spirit;spirits,,,death_mourning;shadowlands_soul_afterlife,,a non-physical entity or being,ghost;soul,,517,461,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.3,True
attack,attack,attacked;attacking;attacks,,,war_conflict,,"to launch a physical or verbal assault on someone, typically to defend oneself or something",assault;attack;raid,,516,487,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
longer,longer,longer,,,travel_places,,for a longer period of time or to a greater extent,further;more,,505,501,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
dur,dur,during,,,travel_places,,at a time when something is happening or has happened,while;in the course of,,499,452,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
small,small,small,,,nature_druid_emerald,,not large or big in size,tiny;miniature,,499,497,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
gain,gain,gain;gained;gaining;gains,,,trade_crafting;war_conflict,,to get or achieve something,win;profit;benefit,lose;fail;harm,496,483,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.6,True
hold,hold,hold;holding;holds,,,war_conflict,,to possess or retain something,possess;retain;keep,,496,495,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
could,could,could,,,family_relationships,,to be able to do something or have the power to do it,can;able,,494,483,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
come,come,come;comes,,,light_holy;travel_places,,to move towards or approach something,approach;arrive;visit,leave;depart,491,482,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
destroy,destroy,destroy;destroyed;destroys,,,corruption_defilement_curse;death_mourning,,past tense of 'destroy',destroy;kill;harm,create;build;preserve,489,463,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
combatant,combatant,combatant;combatants,,,war_conflict,,a person or thing that fights or is involved in a fight,soldier;fighter;battalion,,488,480,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
sec,sec,sec,,,forge_weapons_armor,,"a unit of time, especially one that is equal to a second",time;second;unit,,488,474,2,ItemSparse;JournalEncounterSection,1.0,False
taken,taken,taken,,,war_conflict,,to be seized or captured by someone or something,seized;captured,,488,480,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
form,form,form;formed;forming;forms,,,light_holy;nature_druid_emerald;titan_order_machinery;war_conflict,,arrangement of troops or soldiers,formation;order,,476,441,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
crystal,crystal,crystal;crystals,,,magic_artifacts_runes,,"a solid, transparent or translucent substance that is often used in jewelry or decorative objects",solid;transparent;decorative,opaque; dull,471,439,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.4,True
rune,rune,rune;runes,,,magic_artifacts_runes,,"a symbol or character that is used in magic or writing, often with special powers or meanings",symbol;character;magic,ordinary; meaningless,468,434,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.2,True
some,some,some,,,light_holy,,a small or unspecified amount of something,few;many;enough,,468,457,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.6,True
see,see,see;sees,,,light_holy;travel_places,,to perceive with the eyes or to understand something,look;watch;observe,,460,443,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
fight,fight,fight;fights,,,war_conflict,,"to engage in a physical or verbal contest with someone, typically to defend oneself or something",battle;struggle;contest,,456,440,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.4,True
perform,perform,perform;performed;performing;performs,,,magic_artifacts_runes;ritual_religion,,to carry out or accomplish a task,do;accomplish;execute,fail;omit,453,452,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.5,True
begin,begin,begin;begins,,,light_holy;travel_places,,starts or commences something,start;commence;initiate,,448,421,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
heal,heal,healed;healing,,,death_mourning;ritual_religion,,restoring health or wholeness,medicine;cure;salvation,harm;injury,436,405,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.2,True
new,new,new,,,light_holy,,"recently created or introduced, or not previously known or experienced",fresh;innovative;original,,426,413,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
too,too,too,,,light_holy,,"exceeding or surpassing a limit, or more than is needed or wanted",also;as well;likewise,,426,416,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.6,True
become,become,become;becomes,,,light_holy;magic_artifacts_runes,,to change or develop into something else,change;develop,,424,415,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.1,True
armor,armor,armor,,,forge_weapons_armor,,protective clothing or equipment worn to prevent injury,clothing;equipment;protection,,423,394,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
most,most,most,,,light_holy,,"the greatest or largest amount of something, or the best or highest quality",greatest;largest;best,,418,409,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
those,those,those,,,light_holy,,"used to refer to people or things that are previously mentioned, or to indicate a group of people or things",they;them;their,,410,405,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.6,True
lord,lord,lord;lords,,,nobility_titles_power,,"a person of high social status or authority, often with power over others",person;status;authority,servant;subject,407,382,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
seem,seem,seem;seemed;seems,,,emotion_morality;magic_artifacts_runes,,to appear or seem to be something,appear;something,,397,397,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.1,True
vendor,vendor,vendor;vendors,,,trade_crafting,,a person or business that sells goods or services,merchant;trader;seller,,397,397,2,ItemNameDescription;ItemSparse,0.9,False
charge,charge,charge;charges,,,corruption_defilement_curse;war_conflict,,to attack or assault someone/something,attack;assault;raid,retreat;withdrawal;defeat,389,360,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
spe,spe,speed,,,trade_crafting,,"the rate at which something moves or is done, especially quickly or efficiently",velocity;rate;pace,slowness;delay,386,358,3,BroadcastText;ItemSparse;JournalEncounterSection,0.8,False
leave,leave,leave;leaves,,,nature_druid_emerald;travel_places,,to go away from a place or situation,go;depart;exit,stay;remain;linger,385,380,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.3,True
enchantment,enchantment,enchantment;enchantments,enchantment,,magic_artifacts_runes,,a magical or mystical power that affects something,magical;mystical,,383,381,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
melee,melee,melee,,,war_conflict,,close combat or hand-to-hand fighting,battle;fighting;skirmish,ranged;distance,383,354,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.3,True
defeat,defeat,defeat;defeating,,,corruption_defilement_curse;war_conflict,,to be defeated or overcome by someone or something,defeated;overcome;conquered,,381,367,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
under,under,under,,,travel_places,,below or beneath something,below;beneath;subterranean,above;over,381,377,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.1,True
find,find,find;finding;finds,,,travel_places,,discover or locate something,discover;locate;search,,380,379,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
king,king,king,,,nobility_titles_power,,a monarch or ruler,queen;lord,,380,340,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.5,True
equipment,equipment,equipment,equipment,,forge_weapons_armor,,tools or gear for a particular activity,gear;tool;apparatus,disadvantage;handicap,378,367,4,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter,0.9,False
gather,gather,gather;gathered;gathering,,,trade_crafting;travel_places,,to collect or assemble something,collect;assemble,,371,370,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.5,True
hit,hit,hit;hits,,,war_conflict,,to strike or collide with something,,,368,356,3,BroadcastText;ItemSparse;JournalEncounterSection,0.1,True
about,about,about,,,travel_places,,concerning or relating to something,regarding;pertaining;connected,unrelated;irrelevant,362,358,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.1,True
don't,don't,don't,,,emotion_morality,,do not or refrain from doing something,refrain;abstain;avoid,do;perform,361,350,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
let,let,let;lets,,,law_oath_crime;travel_places,,to allow or permit something to happen,allow;permit;grant,,361,359,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
keep,keep,keep;keeping;keeps,,,family_relationships;trade_crafting,,to hold or retain something,hold;retain,,359,352,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.6,True
dismiss,dismiss,dismiss,,,law_oath_crime,,to send someone away or to end a relationship,oath;vow;sworn,retain;keep,356,356,2,ItemSparse;JournalEncounter,0.8,False
additional,additional,additional,,,trade_crafting,,more or extra of something,extra;supplemental;auxiliary,insufficient;inadequate,355,333,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.6,True
cast,cast,casts,,,light_holy,,performs a magical spell,spell;magic;casting,,352,334,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
enough,enough,enough,,,law_oath_crime,,sufficient or adequate,suffice;adequate;ample,,351,347,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
twilight,twilight,twilight,,,corruption_defilement_curse,,the time of day when the sun is below the horizon but not yet fully dark,day;night;evening,,350,273,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
empower,empower,empower;empowered;empowering;empowers,,,light_holy;magic_artifacts_runes,,given or having power or authority,abled;enabled,,348,336,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.6,True
second,second,seconds,,,time,,a unit of time,minute;hour;day,,347,322,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.6,True
cook,cook,cook;cooking,,,trade_crafting,,"to prepare or make food, especially by heating it",prepare;make,,346,345,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.5,True
knock,knock,knock;knocked;knocking;knocks,,,travel_places;war_conflict,,the act of making a loud or repeated sound to attract attention in World of Warcraft,loud;repeated;attention,,345,344,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
order,order,order;ordered;orders,,,law_oath_crime;titan_order_machinery;war_conflict,,a system of rules and regulations,command;direction,,343,325,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
elemental,elemental,elemental;elementals,,,elements_primalists,,"relating to the fundamental building blocks of the universe, such as earth, air, fire, or water",fundamental;basic;primary,,337,317,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.1,True
against,against,against,,,war_conflict,,in opposition to something or someone,oppose;resist;counter,,336,331,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
current,current,current;currents,,,nature_druid_emerald;travel_places,,existing or happening at the present time,present;now;recent,,335,330,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.3,True
isle,isle,isle;isles,,,travel_places,,a group of islands,island;group,,335,330,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
last,last,last;lasts,,,trade_crafting;war_conflict,,happening or done at the end of a period of time,final;end,,335,333,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
glyph,glyph,glyph,,,magic_artifacts_runes,,"a symbol or character used in writing or magic, often in a way that is considered mysterious or arcane",sigil; rune;character,plain;simple;unadorned,333,333,2,ItemSparse;JournalEncounterSection,0.8,False
call,call,called;calling;calls,,,family_relationships;war_conflict,,makes a loud noise to get attention,summons;invokes,,331,322,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
fragment,fragment,fragment;fragmented;fragments,fragment,,ancient_ruins_memory;corruption_defilement_curse;magic_artifacts_runes,,a small part of something that has been broken or separated from the rest,piece;part,,329,316,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
enemy,enemy,enemy,,,war_conflict,,a person or thing that is opposed to another,opponent;adversary;foe,,327,315,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
own,own,own,,,family_relationships,,to possess or have something as one's own,possess;have;belong,,325,321,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
work,work,work;working;works,,,trade_crafting,,an activity involving mental or physical effort,job;task;project,rest;relax;leisure,325,322,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
should,should,should,,,law_oath_crime,,ought to or is expected to do something,ought;expected;required,,315,306,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
detail,detail,detail;details,,,trade_crafting,,small or specific facts about something,,,314,313,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
periodically,periodically,periodically,,,trade_crafting,,at regular intervals or at fixed times,regular;intervals;times,,314,312,2,ItemSparse;JournalEncounterSection,0.9,False
enchant,enchant,enchant;enchanted;enchanting,,,magic_artifacts_runes,,having been given magical powers or qualities,magical;mystical;supernatural,ordinary;mundane,313,309,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.3,True
help,help,help;helped;helping;helps,,,family_relationships;law_oath_crime;trade_crafting;war_conflict,,to assist or support someone,assist;support,,307,302,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.1,True
inside,inside,inside,,,travel_places,,located or situated within something else,within;inside;interior,,307,298,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
behind,behind,behind,,,travel_places,,located or situated at the back of something else,back;rear;posterior,,306,303,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
bring,bring,bring;bringing;brings,,,light_holy;trade_crafting,,to lead or guide someone to a place or situation,lead;guide;convey,,306,301,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
rid,rid,rid;riding,,,travel_places;war_conflict,,the act of sitting on or controlling a horse or other animal,horseback;mounted;equestrian,,306,306,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
corrupt,corrupt,corrupt;corrupted;corrupting;corruption;corrupts,corruption,,corruption_defilement_curse,,tainted or influenced by evil or dark forces,taint;blight;defile,purify;cleanse,303,282,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
allow,allow,allowed;allowing;allows,,,law_oath_crime;light_holy,,gives permission or makes something possible,permits;enables,,301,301,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
afflict,afflict,afflicted;afflicting,,,corruption_defilement_curse,,"suffering from a disease or injury, typically one that is serious or chronic",ill;sick;injured,,295,262,3,ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
sew,sew,sew,,,trade_crafting,,to join or attach two or more things together using thread or yarn,cook;bake;brew,,293,293,1,ItemSparse,0.9,False
dragon,dragon,brood;clutch;draconic;dragon;dragons;drake;whelp;wyrm,,,dragons_draconic,,relating to dragons or dragon-like creatures,aspect;flight;scaled;talon;fang,,291,282,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
someth,someth,something,,,travel_places,,an unknown or unspecified thing,thing;unknown,,291,288,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.6,True
cannot,cannot,cannot,,,law_oath_crime,,is unable to do something,unable;something,,289,285,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.8,False
reduc,reduc,reduced;reducing,,,corruption_defilement_curse;trade_crafting,,"making something smaller or less in amount, often referring to a process or activity",,,289,284,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
affect,affect,affect;affected;affecting;affects,,,corruption_defilement_curse;emotion_morality;magic_artifacts_runes,,"influenced or changed in some way, especially by a particular event or situation",impacted;impaired;disrupted,unaffected;unchanged;unaltered,285,274,3,BroadcastText;ItemSparse;JournalEncounterSection,0.7,True
challenge,challenge,challenge;challenges,,,war_conflict,,to issue a call to fight or compete,fight;compete,,284,184,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.1,True
turn,turn,turn;turned;turning;turns,,,corruption_defilement_curse;light_holy;war_conflict,,a change in direction or position,direction;position;rotation,stagnation;immobility,282,277,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.7,True
champion,champion,champion;champions,,,war_conflict,,a person who is admired or respected for their achievements or qualities,hero;winner,,281,275,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.1,True
change,change,changes,,,trade_crafting,,to make or become different,make;different,,281,279,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.4,True
orb,orb,orb;orbs,,,magic_artifacts_runes,,"a spherical object, especially one that is used as a tool or talisman in magic or spiritual practices",sphere;ball;globe,flat;two-dimensional;linear,281,252,3,BroadcastText;ItemSparse;JournalEncounterSection,0.9,False
look,look,looked;looks,,,emotion_morality,,to have a certain appearance or expression,appearance;expression,,280,277,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.1,True
already,already,already,,,law_oath_crime,,before the present time or occasion,present;time,,277,277,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.2,True
protect,protect,protect;protected;protects,,,light_holy;war_conflict,,"to keep someone or something safe from harm, injury, or damage",defend;guard;shield,harm;injure;damage,277,273,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.9,False
pool,pool,pool;pools,,,nature_druid_emerald,,bodies of water or magical energies,water;magic;energy,deserts;wasteland,274,240,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.6,True
little,little,little,,,family_relationships,,small or insignificant in size or amount,small;insignificant,,273,268,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.1,True
anima,anima,anima,,,shadowlands_soul_afterlife,,a vital energy or essence,soul;spirit,,272,217,5,BroadcastText;ItemNameDescription;ItemSparse;JournalEncounter;JournalEncounterSection,0.2,True
journal,journal,journal,,,travel_places,,a book or notebook for writing down thoughts or experiences,book;notebook,diary;log,271,270,1,ItemSparse,0.7,True
massive,massive,massive,,,forge_weapons_armor,,very large or heavy in size or amount,large;heavy,,268,260,4,BroadcastText;ItemSparse;JournalEncounter;JournalEncounterSection,0.1,True
glow,glow,glow;glowing;glows,,,magic_artifacts_runes,,"to give off light, especially a soft and gentle light",,,267,266,3,BroadcastText;ItemSparse;JournalEncounterSection,0.8,False
difference,difference,difference,,,law_oath_crime,,a distinction or variation between things,distinction;variation,sameness;uniformity,266,266,2,BroadcastText;ItemSparse,0.8,False
